concept_id;concept_uri;nb_instances;inference;comment
1325;http://www.w3.org/2000/01/rdf-schema#Class;469396087;(with;inf)
1326;http://www.w3.org/2002/07/owl#Class;469396087;(with;inf)
1337;http://www.w3.org/2002/07/owl#Thing;469396087;(with;inf)
1289;http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing;218373742;(with;inf)
228;http://xmlns.com/foaf/0.1/Agent;138841385;(with;inf)
266;http://www.w3.org/2000/10/swap/pim/contact#Person;133379723;(with;inf)
114;http://xmlns.com/foaf/0.1/Person;133365843;(with;inf)
114;http://xmlns.com/foaf/0.1/Person;132919327;(no;inf)
162;http://xmlns.com/foaf/0.1/Document;53646949;(with;inf)
1302;http://geovocab.org/spatial#Feature;30485678;(no;inf)
1302;http://geovocab.org/spatial#Feature;30485678;(with;inf)
252;http://purl.org/ontology/bibo/Document;29310220;(with;inf)
44;http://purl.org/ontology/bibo/Book;27149348;(with;inf)
44;http://purl.org/ontology/bibo/Book;27145467;(no;inf)
162;http://xmlns.com/foaf/0.1/Document;23789671;(no;inf)
20;http://www.w3.org/2004/02/skos/core#Concept;21594986;(with;inf)
1337;http://www.w3.org/2002/07/owl#Thing;19585983;(no;inf)
1289;http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing;17278700;(no;inf)
243;http://purl.org/rss/1.0/item;16370239;(no;inf)
243;http://purl.org/rss/1.0/item;16370239;(with;inf)
116;http://schema.org/Place;14818944;(with;inf)
1301;http://www.geonames.org/ontology#Feature;12553591;(with;inf)
20;http://www.w3.org/2004/02/skos/core#Concept;11290130;(no;inf)
1353;http://www.aktors.org/ontology/portal#Person;9414915;(with;inf)
1353;http://www.aktors.org/ontology/portal#Person;7971173;(no;inf)
1301;http://www.geonames.org/ontology#Feature;7511689;(no;inf)
18;http://xmlns.com/foaf/0.1/Organization;7508368;(with;inf)
31;http://dbpedia.org/ontology/Agent;7404211;(with;inf)
1340;http://www.w3.org/ns/org#Organization;7197490;(with;inf)
31;http://dbpedia.org/ontology/Agent;7073693;(no;inf)
109;http://dbpedia.org/ontology/Person;6572380;(with;inf)
109;http://dbpedia.org/ontology/Person;6568866;(no;inf)
252;http://purl.org/ontology/bibo/Document;6371138;(no;inf)
110;http://schema.org/Person;6287617;(no;inf)
110;http://schema.org/Person;6287617;(with;inf)
171;http://purl.org/NET/c4dm/event.owl#Event;4895955;(with;inf)
32;http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent;4765314;(with;inf)
115;http://dbpedia.org/ontology/Place;4613844;(with;inf)
115;http://dbpedia.org/ontology/Place;4608221;(no;inf)
32;http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent;4572769;(no;inf)
116;http://schema.org/Place;4452038;(no;inf)
113;http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson;4359740;(with;inf)
