row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
1 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://dbpedia.org/ontology/Person 6568866 5933324 6298105 5663363 133190088 132463687 0.0473 0.0428 False False False -9.51
2 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://www.aktors.org/ontology/portal#Person 7971173 7971173 0 0 140890500 140164899 0.0 0.0 False False False 0
3 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://mycampus.cs.cmu.edu/ontology/foo#Person 5 5 0 0 132919332 132193731 0.0 0.0 False False False 0
4 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://www.mindswap.org/~golbeck/web/www04photo.owl#Person 4 4 0 0 132919331 132193730 0.0 0.0 False False False 0
5 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://swrc.ontoware.org/ontology#Person 1451951 1451951 453 453 134370825 133645224 0.0 0.0 False False False 0
6 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://www.daml.org/2002/03/tutorial/bushes#Person 2 2 0 0 132919329 132193728 0.0 0.0 False False False 0
7 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://www.w3.org/2000/10/swap/pim/contact#Person 12610 12609 896 895 132931041 132205440 0.0 0.0 True False False 0
8 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://www.mindswap.org/2004/www04photo.owl#Person 2 2 0 0 132919329 132193728 0.0 0.0 False False False 0
9 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://pervasive.semanticweb.org/ont/dev/person#Person 18 18 0 0 132919345 132193744 0.0 0.0 False False False 0
10 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://umbel.org/umbel/sc/Person 40983 40983 35156 35894 132925154 132198815 0.0003 0.0003 False False False 0
11 http://xmlns.com/foaf/0.1/Person 132919327 132193726 http://purl.org/ontology/po/Person 2 2 0 0 132919329 132193728 0.0 0.0 False False False 0
