row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
1 http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing 218373742 216538597 http://www.cyc.com/2004/06/04/cyc#SpatialThing 6 6 3 3 218373745 216538600 0.0 0.0 False False False 0
2 http://xmlns.com/foaf/0.1/Agent 138841385 137990373 http://www.cyc.com/2004/06/04/cyc#Agent 2 2 2 2 138841385 137990373 0.0 0.0 False True True 0
3 http://xmlns.com/foaf/0.1/Agent 138841385 137990373 http://purl.org/net/opmv/ns#Agent 4714 4714 0 0 138846099 137995087 0.0 0.0 False False False 0
4 http://xmlns.com/foaf/0.1/Agent 138841385 137990373 http://purl.org/dc/terms/Agent 2620 2620 684 684 138843321 137992309 0.0 0.0 False False False 0
5 http://xmlns.com/foaf/0.1/Agent 138841385 137990373 http://web.resource.org/cc/Agent 4967 4967 3628 3628 138842724 137991712 0.0 0.0 False False False 0
6 http://www.w3.org/2000/10/swap/pim/contact#Person 133379723 132653904 http://rdfs.org/sioc/ns#User 270003 270003 2234 2234 133647492 132921673 0.0 0.0 False False False 0
7 http://www.w3.org/2000/10/swap/pim/contact#Person 133379723 132653904 http://xmlns.com/foaf/0.1/Person 133365843 132640024 133365843 132640024 133379723 132653904 0.9999 0.9999 True True True 0
8 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://www.aktors.org/ontology/portal#Person 9414915 9414915 0 1 142780758 142054938 0.0 0.0 False False False 0
9 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://bblfish.net/work/atom-owl/2004-06-22/ns#Person 3 3 0 0 133365846 132640027 0.0 0.0 False False False 0
10 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://dbpedia.org/ontology/Person 6572380 5936838 6298218 5663476 133640005 132913386 0.0471 0.0426 False False False -9.55
11 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://www.mindswap.org/2004/www04photo.owl#Person 2 2 0 0 133365845 132640026 0.0 0.0 False False False 0
12 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://annotation.semanticweb.org/2004/iswc#Person 29 29 0 0 133365872 132640053 0.0 0.0 False False False 0
13 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://purl.org/ontology/po/Person 2 2 0 0 133365845 132640026 0.0 0.0 False False False 0
14 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://umbel.org/umbel/sc/Person 40983 40983 35156 35894 133371670 132645113 0.0003 0.0003 False False False 0
15 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://schema.org/Person 6287617 5652968 6287611 5652962 133365849 132640030 0.0471 0.0426 False False False -9.55
16 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://mycampus.cs.cmu.edu/ontology/foo#Person 5 5 0 0 133365848 132640029 0.0 0.0 False False False 0
17 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://www.mindswap.org/~golbeck/web/www04photo.owl#Person 15 15 2 2 133365856 132640037 0.0 0.0 False False False 0
18 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://pervasive.semanticweb.org/ont/dev/person#Person 20 20 0 0 133365863 132640044 0.0 0.0 False False False 0
19 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://swrc.ontoware.org/ontology#Person 1452038 1452038 466 466 134817415 134091596 0.0 0.0 False False False 0
20 http://xmlns.com/foaf/0.1/Person 133365843 132640024 http://www.daml.org/2002/03/tutorial/bushes#Person 2 2 0 0 133365845 132640026 0.0 0.0 False False False 0
21 http://xmlns.com/foaf/0.1/Document 53646949 53345760 http://eprints.org/ontology/Document 176586 176586 0 0 53823535 53522346 0.0 0.0 False False False 0
22 http://xmlns.com/foaf/0.1/Document 53646949 53345760 http://schema.org/CreativeWork 1709194 1390407 18910 18933 55337233 54717234 0.0003 0.0003 False False False 0
23 http://xmlns.com/foaf/0.1/Document 53646949 53345760 http://purl.org/ontology/bibo/Document 29310220 29258892 971832 2729726 81985337 79874926 0.0119 0.0342 False False False 187.39
24 http://geovocab.org/spatial#Feature 30485678 30485675 http://www.geonames.org/ontology#Feature 12553591 12046249 2733582 2733618 40305687 39798306 0.0678 0.0687 False False False 1.33
25 http://purl.org/ontology/bibo/Book 27149348 27099196 http://dbpedia.org/ontology/Book 269350 254840 262001 247497 27156697 27106539 0.0096 0.0091 False False False -5.21
26 http://www.w3.org/2004/02/skos/core#Concept 21594986 19167672 http://d-nb.info/standards/elementset/gnd#SubjectHeading 203800 203800 0 0 21798786 19371472 0.0 0.0 False False False 0
27 http://purl.org/rss/1.0/item 16370239 16370239 http://purl.org/net/rss1.1#item 590 590 520 520 16370309 16370309 0.0 0.0 False False False 0
28 http://schema.org/Place 14818944 13712413 http://purl.org/goodrelations/v1#Location 1492 1492 1492 1492 14818944 13712413 0.0001 0.0001 False True True 0
29 http://schema.org/Place 14818944 13712413 http://dbpedia.org/ontology/Place 4613844 3511850 4481791 3387810 14950997 13836453 0.2998 0.2448 False False False -18.35
30 http://xmlns.com/foaf/0.1/Organization 7508368 6750154 http://swrc.ontoware.org/ontology#Organization 247802 247802 2 2 7756168 6997954 0.0 0.0 False False False 0
31 http://xmlns.com/foaf/0.1/Organization 7508368 6750154 http://d-nb.info/standards/elementset/gnd#CorporateBody 1200996 1200996 0 0 8709364 7951150 0.0 0.0 False False False 0
32 http://xmlns.com/foaf/0.1/Organization 7508368 6750154 http://www.w3.org/ns/org#Organization 7197490 6439276 7196445 6438231 7509413 6751199 0.9583 0.9536 False False False -0.49
33 http://xmlns.com/foaf/0.1/Organization 7508368 6750154 http://umbel.org/umbel/sc/Organization 4900 4900 3694 3708 7509574 6751346 0.0005 0.0005 False False False 0
34 http://xmlns.com/foaf/0.1/Organization 7508368 6750154 http://www.aktors.org/ontology/portal#Organization 454113 454113 3 3 7962478 7204264 0.0 0.0 False False False 0
35 http://dbpedia.org/ontology/Agent 7404211 6648150 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent 4765314 4693013 4765314 4693013 7404211 6648150 0.6436 0.7059 False True True 9.68
36 http://dbpedia.org/ontology/Person 6572380 5936838 http://wikidata.dbpedia.org/resource/Q215627 1445104 1445101 1445104 1445101 6572380 5936838 0.2199 0.2434 False True True 10.69
37 http://dbpedia.org/ontology/Person 6572380 5936838 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson 4359740 4313938 4359740 4313938 6572380 5936838 0.6633 0.7266 False True True 9.54
38 http://dbpedia.org/ontology/Person 6572380 5936838 http://schema.org/Person 6287617 5652968 6287590 5652941 6572407 5936865 0.9567 0.9522 False False False -0.47
39 http://dbpedia.org/ontology/Person 6572380 5936838 http://wikidata.dbpedia.org/resource/Q5 1445104 1445101 1445104 1445101 6572380 5936838 0.2199 0.2434 False True True 10.69
40 http://purl.org/NET/c4dm/event.owl#Event 4895955 4895955 http://linkedevents.org/ontology/Event 290047 290047 290001 290001 4896001 4896001 0.0592 0.0592 False False False 0
41 http://purl.org/NET/c4dm/event.owl#Event 4895955 4895955 http://umbel.org/umbel/sc/Event 320 320 0 0 4896275 4896275 0.0 0.0 False False False 0
42 http://dbpedia.org/ontology/Place 4613844 3511850 http://dbpedia.org/ontology/Wikidata:Q532 735062 735056 735062 735056 4613844 3511850 0.1593 0.2093 False True True 31.39
43 http://dbpedia.org/ontology/PopulatedPlace 3143277 2180599 http://dbpedia.org/ontology/Wikidata:Q532 735062 735056 480819 480868 3397520 2434787 0.1415 0.1975 False False False 39.58
44 http://purl.org/ontology/mo/Performance 2314082 2314082 http://umbel.org/umbel/sc/MusicalPerformance 8 8 0 0 2314090 2314090 0.0 0.0 False False False 0
45 http://purl.org/ontology/bibo/Periodical 2021880 2021880 http://umbel.org/umbel/sc/PeriodicalSeries 89 89 0 0 2021969 2021969 0.0 0.0 False False False 0
46 http://purl.org/goodrelations/v1#ProductOrService 1922752 1922659 http://schema.org/Product 1655838 1634264 1481903 1481903 2096687 2075020 0.7068 0.7142 False False False 1.05
47 http://dbpedia.org/ontology/Work 1876326 1557430 http://schema.org/CreativeWork 1709194 1390407 1690212 1371425 1895308 1576412 0.8918 0.87 False False False -2.44
48 http://rdfs.org/sioc/ns#Post 1245116 1245116 http://webenemasuno.linkeddata.es/ontology/OPMO/Post 16248 16248 0 0 1261364 1261364 0.0 0.0 False False False 0
49 http://schema.org/AdministrativeArea 1217807 817651 http://dbpedia.org/ontology/AdministrativeRegion 925095 670753 906075 651882 1236827 836522 0.7326 0.7793 False False False 6.37
50 http://schema.org/Organization 1044198 875369 http://dbpedia.org/ontology/Organisation 821228 713244 788893 681139 1076533 907474 0.7328 0.7506 False False False 2.43
51 http://www.w3.org/2002/07/owl#Ontology 980579 980579 http://www.schemaweb.info/schemas/meta/rdf/Schema 240 240 0 0 980819 980819 0.0 0.0 False False False 0
52 http://dbpedia.org/ontology/Organisation 821228 713244 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson 414188 394463 414188 394463 821228 713244 0.5044 0.5531 False True True 9.66
53 http://dbpedia.org/ontology/Organisation 821228 713244 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/organization 799 799 0 0 822027 714043 0.0 0.0 False False False 0
54 http://dbpedia.org/ontology/Wikidata:Q532 735062 735056 http://dbpedia.org/ontology/Village 490198 488712 165670 165724 1059590 1058044 0.1564 0.1566 False False False 0.13
55 http://lsdis.cs.uga.edu/projects/semdis/opus#Article_in_Proceedings 613760 613760 http://purl.org/net/nknouf/ns/bibtex#Inproceedings 1289 1289 0 0 615049 615049 0.0 0.0 False False False 0
56 http://dbpedia.org/ontology/Album 575512 488901 http://schema.org/MusicAlbum 529458 442885 529458 442885 575512 488901 0.92 0.9059 False True True -1.53
57 http://dbpedia.org/ontology/Album 575512 488901 http://wikidata.dbpedia.org/resource/Q482994 123374 123374 123374 123374 575512 488901 0.2144 0.2523 False True True 17.68
58 http://xmlns.com/foaf/0.1/Image 573450 572824 http://purl.org/ontology/bibo/Image 194136 193509 184759 184133 582827 582200 0.317 0.3163 False False False -0.22
59 http://www.w3.org/2006/vcard/ns#VCard 559569 559569 http://www.w3.org/2006/vcard/ns#Kind 27120 27120 3 3 586686 586686 0.0 0.0 False False False 0
60 http://purl.org/rss/1.0/channel 546941 546941 http://purl.org/net/rss1.1#Channel 52 52 47 47 546946 546946 0.0001 0.0001 False False False 0
61 http://purl.org/vocab/frbr/core#Work 540139 540139 http://purl.org/net/cito/Work 75 75 75 75 540139 540139 0.0001 0.0001 False True True 0
62 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://dbpedia.org/ontology/Restaurant 2633 2579 0 0 423589 423535 0.0 0.0 False False False 0
63 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://schema.org/Restaurant 2633 2579 0 0 423589 423535 0.0 0.0 False False False 0
64 http://lsdis.cs.uga.edu/projects/semdis/opus#Article 386481 386481 http://purl.org/net/nknouf/ns/bibtex#Article 1396 1396 0 0 387877 387877 0.0 0.0 False False False 0
65 http://www.aktors.org/ontology/portal#Project 382785 382785 http://swrc.ontoware.org/ontology#Project 360 360 0 0 383145 383145 0.0 0.0 False False False 0
66 http://www.aktors.org/ontology/portal#Project 382785 382785 http://xmlns.com/foaf/0.1/Project 118058 118047 0 0 500843 500832 0.0 0.0 False False False 0
67 http://dbpedia.org/ontology/City 381256 337964 http://schema.org/City 365174 322255 365174 322255 381256 337964 0.9578 0.9535 False True True -0.45
68 http://dbpedia.org/ontology/Event 330692 286305 http://schema.org/Event 327984 283620 327954 283590 330722 286335 0.9916 0.9904 False False False -0.12
69 http://dbpedia.org/ontology/Event 330692 286305 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event 45377 45377 45377 45377 330692 286305 0.1372 0.1585 False True True 15.52
70 http://dbpedia.org/ontology/Film 317078 202845 http://schema.org/Movie 296548 182332 296548 182332 317078 202845 0.9353 0.8989 False True True -3.89
71 http://dbpedia.org/ontology/Film 317078 202845 http://dbpedia.org/ontology/Wikidata:Q11424 87282 87282 87282 87282 317078 202845 0.2753 0.4303 False True True 56.3
72 http://dbpedia.org/ontology/BodyOfWater 291627 261399 http://schema.org/BodyOfWater 283137 252933 283137 252933 291627 261399 0.9709 0.9676 False True True -0.34
73 http://rdfs.org/sioc/ns#User 270003 270003 http://rdf.myexperiment.org/ontology#User 1 1 0 0 270004 270004 0.0 0.0 False False False 0
74 http://rdfs.org/sioc/ns#User 270003 270003 http://rdf.myexperiment.org/ontologies/base/User 5 5 0 0 270008 270008 0.0 0.0 False False False 0
75 http://rdfs.org/sioc/ns#User 270003 270003 http://rdfs.org/sioc/ns#UserAccount 9242 9242 15 15 279230 279230 0.0001 0.0001 False False False 0
76 http://dbpedia.org/ontology/Book 269350 254840 http://schema.org/Book 262300 247795 262298 247793 269352 254842 0.9738 0.9723 False False False -0.15
77 http://swrc.ontoware.org/ontology#Organization 247802 247802 http://lsdis.cs.uga.edu/projects/semdis/opus#Publishing_Organization 331 331 0 0 248133 248133 0.0 0.0 False False False 0
78 http://www.w3.org/2006/time#Instant 229104 229104 http://purl.org/NET/c4dm/timeline.owl#Instant 85 85 0 0 229189 229189 0.0 0.0 False False False 0
79 http://dbpedia.org/ontology/SportsEvent 219466 193033 http://schema.org/SportsEvent 218615 192182 218615 192182 219466 193033 0.9961 0.9956 False True True -0.05
80 http://dbpedia.org/ontology/Stream 181659 158943 http://linkedgeodata.org/ontology/Stream 13226 13226 0 0 194885 172169 0.0 0.0 False False False 0
81 http://dbpedia.org/ontology/River 179941 157262 http://schema.org/RiverBodyOfWater 173387 150715 173387 150715 179941 157262 0.9636 0.9584 False True True -0.54
82 http://linkedgeodata.org/ontology/GraveYard 157284 157284 http://linkedgeodata.org/ontology/Cemetery 9866 9866 2620 2620 164530 164530 0.0159 0.0159 False False False 0
83 http://linkedgeodata.org/ontology/Hotel 155495 155495 http://dbpedia.org/ontology/Hotel 4112 4089 0 0 159607 159584 0.0 0.0 False False False 0
84 http://linkedgeodata.org/ontology/Hotel 155495 155495 http://schema.org/Hotel 4112 4089 0 0 159607 159584 0.0 0.0 False False False 0
85 http://dbpedia.org/ontology/EducationalInstitution 134343 126453 http://schema.org/EducationalOrganization 125560 117682 125560 117682 134343 126453 0.9346 0.9306 False True True -0.43
86 http://linkedgeodata.org/ontology/Island 127028 127028 http://dbpedia.org/ontology/Island 43144 33000 0 0 170172 160028 0.0 0.0 False False False 0
87 http://dbpedia.org/ontology/SportsTeam 126366 89225 http://schema.org/SportsTeam 125005 87998 125005 87998 126366 89225 0.9892 0.9862 False True True -0.3
88 http://xmlns.com/foaf/0.1/Project 118058 118047 http://usefulinc.com/ns/doap#Project 112666 112655 112666 112655 118058 118047 0.9543 0.9543 True True True 0
89 http://xmlns.com/foaf/0.1/Project 118058 118047 http://swc.projects.semwebcentral.org/owl/gforge-ont#Project 161 161 161 161 118058 118047 0.0014 0.0014 True True True 0
90 http://xmlns.com/foaf/0.1/Project 118058 118047 http://swrc.ontoware.org/ontology#Project 360 360 0 0 118418 118407 0.0 0.0 False False False 0
91 http://xmlns.com/foaf/0.1/Project 118058 118047 http://rdf.geospecies.org/ont/geospecies#Project 2 2 1 1 118059 118048 0.0 0.0 False False False 0
92 http://xmlns.com/foaf/0.1/Project 118058 118047 http://www.daml.org/tools/tools-ont#Project 1 1 0 0 118059 118048 0.0 0.0 False False False 0
93 http://linkedgeodata.org/ontology/Hospital 117171 117171 http://schema.org/Hospital 10776 10741 0 0 127947 127912 0.0 0.0 False False False 0
94 http://linkedgeodata.org/ontology/Hospital 117171 117171 http://dbpedia.org/ontology/Hospital 11241 11206 0 0 128412 128377 0.0 0.0 False False False 0
95 http://www.aktors.org/ontology/portal#Journal 112183 112183 http://swrc.ontoware.org/ontology#InCollection 32684 32684 0 0 144867 144867 0.0 0.0 False False False 0
96 http://dbpedia.org/ontology/Lake 103699 99190 http://schema.org/LakeBodyOfWater 101775 97282 101775 97282 103699 99190 0.9814 0.9808 False True True -0.06
97 http://sw.opencyc.org/2008/06/10/concept/en/Thing 103340 103299 http://umbel.org/umbel/ac/Thing 52 52 0 0 103392 103351 0.0 0.0 False False False 0
98 http://dbpedia.org/ontology/Mountain 100963 87912 http://schema.org/Mountain 99146 86107 99146 86107 100963 87912 0.982 0.9795 False True True -0.25
99 http://dbpedia.org/ontology/TelevisionEpisode 95595 93637 http://schema.org/TVEpisode 21711 19755 21711 19755 95595 93637 0.2271 0.211 False True True -7.09
100 http://www.holygoat.co.uk/owl/redwood/0.1/tags/Tag 78634 78634 http://bioinfo.icapture.ubc.ca/Resources/SemanticTagging/Tag 2 2 0 0 78636 78636 0.0 0.0 False False False 0
101 http://dbpedia.org/ontology/School 75561 75330 http://schema.org/School 69027 68797 69027 68797 75561 75330 0.9135 0.9133 False True True -0.02
102 http://dbpedia.org/ontology/Scientist 72580 59455 http://lod.taxonconcept.org/ontology/txn.owl#Scientist 33 33 7 7 72606 59481 0.0001 0.0001 False False False 0
103 http://dbpedia.org/ontology/ChemicalSubstance 60674 44662 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject 25733 25732 25733 25732 60674 44662 0.4241 0.5761 False True True 35.84
104 http://sw.opencyc.org/2008/06/10/concept/en/Individual 57157 57116 http://umbel.org/umbel/ac/Individual 511 511 0 43 57668 57584 0.0 0.0007 False False False 9999
105 http://dbpedia.org/ontology/University 54521 47081 http://schema.org/CollegeOrUniversity 52661 45226 52228 44799 54954 47508 0.9504 0.943 False False False -0.78
106 http://schema.org/CollegeOrUniversity 52661 45226 http://dbpedia.org/ontology/College 355 353 277 275 52739 45304 0.0053 0.0061 False False False 15.09
107 http://linkedgeodata.org/ontology/Library 48188 48188 http://schema.org/Library 3392 3341 0 0 51580 51529 0.0 0.0 False False False 0
108 http://linkedgeodata.org/ontology/Airport 44084 44084 http://dbpedia.org/ontology/Airport 42929 36140 0 0 87013 80224 0.0 0.0 False False False 0
109 http://dbpedia.org/ontology/Airport 42929 36140 http://schema.org/Airport 41567 34792 41567 34792 42929 36140 0.9683 0.9627 False True True -0.58
110 http://umbel.org/umbel/sc/Person 40983 40983 http://sw.opencyc.org/2008/06/10/concept/en/Person 1837 1837 0 0 42820 42820 0.0 0.0 False False False 0
111 http://data.linkedct.org/vocab/resource/city 40758 40758 http://umbel.org/umbel/sc/City 7211 7211 0 0 47969 47969 0.0 0.0 False False False 0
112 http://purl.org/NET/scovo#Item 38631 38631 http://purl.org/linked-data/cube#Observation 183 183 0 0 38814 38814 0.0 0.0 False False False 0
113 http://dbpedia.org/ontology/HistoricPlace 36050 36018 http://schema.org/LandmarksOrHistoricalBuildings 27084 26697 14999 14967 48135 47748 0.3116 0.3135 False False False 0.61
114 http://linkedgeodata.org/ontology/Monument 31770 31770 http://dbpedia.org/ontology/Monument 18702 18507 0 0 50472 50277 0.0 0.0 False False False 0
115 http://dbpedia.org/ontology/Language 29959 21972 http://schema.org/Language 29475 21490 29475 21490 29959 21972 0.9838 0.9781 False True True -0.58
116 http://dbpedia.org/ontology/Stadium 29722 21845 http://linkedgeodata.org/ontology/Stadium 15100 15100 0 0 44822 36945 0.0 0.0 False False False 0
117 http://dbpedia.org/ontology/Stadium 29722 21845 http://schema.org/StadiumOrArena 29288 20700 28451 20591 30559 21954 0.931 0.9379 False False False 0.74
118 http://linkedgeodata.org/ontology/PowerStation 29699 29699 http://dbpedia.org/ontology/PowerStation 3732 3731 0 0 33431 33430 0.0 0.0 False False False 0
119 http://schema.org/Language 29475 21490 http://www.lingvoj.org/ontology#Lingvo 522 522 0 8 29997 22004 0.0 0.0004 False False False 9999
120 http://swrc.ontoware.org/ontology#Proceedings 29346 29346 http://lsdis.cs.uga.edu/projects/semdis/opus#Proceedings 9900 9900 0 0 39246 39246 0.0 0.0 False False False 0
121 http://schema.org/StadiumOrArena 29288 20700 http://linkedgeodata.org/ontology/Stadium 15100 15100 0 0 44388 35800 0.0 0.0 False False False 0
122 http://schema.org/StadiumOrArena 29288 20700 http://dbpedia.org/ontology/Arena 1560 1466 1560 1466 29288 20700 0.0533 0.0708 False True True 32.83
