row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
1 http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing 218373742 212801720 http://www.cyc.com/2004/06/04/cyc#SpatialThing 6 6 3 3 218373745 212801723 0.0 0.0 False False False 0
2 http://xmlns.com/foaf/0.1/Agent 138841385 135697848 http://www.cyc.com/2004/06/04/cyc#Agent 2 2 2 2 138841385 135697848 0.0 0.0 False True True 0
3 http://xmlns.com/foaf/0.1/Agent 138841385 135697848 http://purl.org/net/opmv/ns#Agent 4714 4714 0 0 138846099 135702562 0.0 0.0 False False False 0
4 http://xmlns.com/foaf/0.1/Agent 138841385 135697848 http://purl.org/dc/terms/Agent 2620 2614 684 719 138843321 135699743 0.0 0.0 False False False 0
5 http://xmlns.com/foaf/0.1/Agent 138841385 135697848 http://web.resource.org/cc/Agent 4967 4963 3628 3627 138842724 135699184 0.0 0.0 False False False 0
6 http://www.w3.org/2000/10/swap/pim/contact#Person 133379723 130903573 http://rdfs.org/sioc/ns#User 270003 269997 2234 2241 133647492 131171329 0.0 0.0 False False False 0
7 http://www.w3.org/2000/10/swap/pim/contact#Person 133379723 130903573 http://xmlns.com/foaf/0.1/Person 133365843 130889693 133365843 130889693 133379723 130903573 0.9999 0.9999 True True True 0
8 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://www.aktors.org/ontology/portal#Person 9414915 9414837 0 528 142780758 140304002 0.0 0.0 False False False 0
9 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://bblfish.net/work/atom-owl/2004-06-22/ns#Person 3 3 0 0 133365846 130889696 0.0 0.0 False False False 0
10 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://dbpedia.org/ontology/Person 6572380 4364980 6298218 4103760 133640005 131150913 0.0471 0.0313 False False False -33.55
11 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://www.mindswap.org/2004/www04photo.owl#Person 2 2 0 0 133365845 130889695 0.0 0.0 False False False 0
12 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://annotation.semanticweb.org/2004/iswc#Person 29 29 0 0 133365872 130889722 0.0 0.0 False False False 0
13 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://purl.org/ontology/po/Person 2 2 0 0 133365845 130889695 0.0 0.0 False False False 0
14 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://umbel.org/umbel/sc/Person 40983 40853 35156 38924 133371670 130891622 0.0003 0.0003 False False False 0
15 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://schema.org/Person 6287617 4098156 6287611 4098150 133365849 130889699 0.0471 0.0313 False False False -33.55
16 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://mycampus.cs.cmu.edu/ontology/foo#Person 5 5 0 0 133365848 130889698 0.0 0.0 False False False 0
17 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://www.mindswap.org/~golbeck/web/www04photo.owl#Person 15 15 2 2 133365856 130889706 0.0 0.0 False False False 0
18 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://pervasive.semanticweb.org/ont/dev/person#Person 20 20 0 0 133365863 130889713 0.0 0.0 False False False 0
19 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://swrc.ontoware.org/ontology#Person 1452038 1452035 466 464 134817415 132341264 0.0 0.0 False False False 0
20 http://xmlns.com/foaf/0.1/Person 133365843 130889693 http://www.daml.org/2002/03/tutorial/bushes#Person 2 2 0 0 133365845 130889695 0.0 0.0 False False False 0
21 http://xmlns.com/foaf/0.1/Document 53646949 53093944 http://eprints.org/ontology/Document 176586 176586 0 0 53823535 53270530 0.0 0.0 False False False 0
22 http://xmlns.com/foaf/0.1/Document 53646949 53093944 http://schema.org/CreativeWork 1709194 1009544 18910 39705 55337233 54063783 0.0003 0.0007 False False False 133.33
23 http://xmlns.com/foaf/0.1/Document 53646949 53093944 http://purl.org/ontology/bibo/Document 29310220 28609484 971832 2655121 81985337 79048307 0.0119 0.0336 False False False 182.35
24 http://geovocab.org/spatial#Feature 30485678 30484221 http://www.geonames.org/ontology#Feature 12553591 11244934 2733582 2806475 40305687 38922680 0.0678 0.0721 False False False 6.34
25 http://purl.org/ontology/bibo/Book 27149348 26481591 http://dbpedia.org/ontology/Book 269350 194910 262001 189698 27156697 26486803 0.0096 0.0072 False False False -25.0
26 http://www.w3.org/2004/02/skos/core#Concept 21594986 18951715 http://d-nb.info/standards/elementset/gnd#SubjectHeading 203800 203800 0 0 21798786 19155515 0.0 0.0 False False False 0
27 http://purl.org/rss/1.0/item 16370239 16369962 http://purl.org/net/rss1.1#item 590 590 520 520 16370309 16370032 0.0 0.0 False False False 0
28 http://schema.org/Place 14818944 12440025 http://purl.org/goodrelations/v1#Location 1492 1492 1492 1492 14818944 12440025 0.0001 0.0001 False True True 0
29 http://schema.org/Place 14818944 12440025 http://dbpedia.org/ontology/Place 4613844 2596723 4481791 2525556 14950997 12511192 0.2998 0.2019 False False False -32.66
30 http://xmlns.com/foaf/0.1/Organization 7508368 5024518 http://swrc.ontoware.org/ontology#Organization 247802 247802 2 3 7756168 5272317 0.0 0.0 False False False 0
31 http://xmlns.com/foaf/0.1/Organization 7508368 5024518 http://d-nb.info/standards/elementset/gnd#CorporateBody 1200996 1200989 0 7 8709364 6225500 0.0 0.0 False False False 0
32 http://xmlns.com/foaf/0.1/Organization 7508368 5024518 http://www.w3.org/ns/org#Organization 7197490 4714489 7196445 4713486 7509413 5025521 0.9583 0.9379 False False False -2.13
33 http://xmlns.com/foaf/0.1/Organization 7508368 5024518 http://umbel.org/umbel/sc/Organization 4900 4883 3694 4058 7509574 5025343 0.0005 0.0008 False False False 60.0
34 http://xmlns.com/foaf/0.1/Organization 7508368 5024518 http://www.aktors.org/ontology/portal#Organization 454113 454113 3 4 7962478 5478627 0.0 0.0 False False False 0
35 http://dbpedia.org/ontology/Agent 7404211 4907532 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent 4765314 3438275 4765314 3438275 7404211 4907532 0.6436 0.7006 False True True 8.86
36 http://dbpedia.org/ontology/Person 6572380 4364980 http://wikidata.dbpedia.org/resource/Q215627 1445104 1440107 1445104 1440107 6572380 4364980 0.2199 0.3299 False True True 50.02
37 http://dbpedia.org/ontology/Person 6572380 4364980 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson 4359740 3128703 4359740 3128703 6572380 4364980 0.6633 0.7168 False True True 8.07
38 http://dbpedia.org/ontology/Person 6572380 4364980 http://schema.org/Person 6287617 4098156 6287590 4098133 6572407 4365003 0.9567 0.9389 False False False -1.86
39 http://dbpedia.org/ontology/Person 6572380 4364980 http://wikidata.dbpedia.org/resource/Q5 1445104 1440107 1445104 1440107 6572380 4364980 0.2199 0.3299 False True True 50.02
40 http://purl.org/NET/c4dm/event.owl#Event 4895955 4895955 http://linkedevents.org/ontology/Event 290047 290047 290001 290001 4896001 4896001 0.0592 0.0592 False False False 0
41 http://purl.org/NET/c4dm/event.owl#Event 4895955 4895955 http://umbel.org/umbel/sc/Event 320 316 0 0 4896275 4896271 0.0 0.0 False False False 0
42 http://dbpedia.org/ontology/Place 4613844 2596723 http://dbpedia.org/ontology/Wikidata:Q532 735062 724068 735062 724068 4613844 2596723 0.1593 0.2788 False True True 75.02
43 http://dbpedia.org/ontology/PopulatedPlace 3143277 1545113 http://dbpedia.org/ontology/Wikidata:Q532 735062 724068 480819 476032 3397520 1793149 0.1415 0.2655 False False False 87.63
44 http://purl.org/ontology/mo/Performance 2314082 2314082 http://umbel.org/umbel/sc/MusicalPerformance 8 8 0 0 2314090 2314090 0.0 0.0 False False False 0
45 http://purl.org/ontology/bibo/Periodical 2021880 2021865 http://umbel.org/umbel/sc/PeriodicalSeries 89 89 0 0 2021969 2021954 0.0 0.0 False False False 0
46 http://purl.org/goodrelations/v1#ProductOrService 1922752 1922474 http://schema.org/Product 1655838 1591699 1481903 1481904 2096687 2032269 0.7068 0.7292 False False False 3.17
47 http://dbpedia.org/ontology/Work 1876326 1149237 http://schema.org/CreativeWork 1709194 1009544 1690212 990563 1895308 1168218 0.8918 0.8479 False False False -4.92
48 http://rdfs.org/sioc/ns#Post 1245116 1242782 http://webenemasuno.linkeddata.es/ontology/OPMO/Post 16248 16248 0 0 1261364 1259030 0.0 0.0 False False False 0
49 http://schema.org/AdministrativeArea 1217807 549756 http://dbpedia.org/ontology/AdministrativeRegion 925095 461826 906075 451468 1236827 560114 0.7326 0.806 False False False 10.02
50 http://schema.org/Organization 1044198 671513 http://dbpedia.org/ontology/Organisation 821228 544889 788893 521890 1076533 694512 0.7328 0.7514 False False False 2.54
51 http://www.w3.org/2002/07/owl#Ontology 980579 980540 http://www.schemaweb.info/schemas/meta/rdf/Schema 240 240 0 0 980819 980780 0.0 0.0 False False False 0
52 http://dbpedia.org/ontology/Organisation 821228 544889 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson 414188 322963 414188 322963 821228 544889 0.5044 0.5927 False True True 17.51
53 http://dbpedia.org/ontology/Organisation 821228 544889 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/organization 799 782 0 44 822027 545627 0.0 0.0001 False False False 9999
54 http://dbpedia.org/ontology/Wikidata:Q532 735062 724068 http://dbpedia.org/ontology/Village 490198 371271 165670 183580 1059590 911759 0.1564 0.2013 False False False 28.71
55 http://lsdis.cs.uga.edu/projects/semdis/opus#Article_in_Proceedings 613760 613760 http://purl.org/net/nknouf/ns/bibtex#Inproceedings 1289 1289 0 0 615049 615049 0.0 0.0 False False False 0
56 http://dbpedia.org/ontology/Album 575512 336732 http://schema.org/MusicAlbum 529458 298892 529458 298892 575512 336732 0.92 0.8876 False True True -3.52
57 http://dbpedia.org/ontology/Album 575512 336732 http://wikidata.dbpedia.org/resource/Q482994 123374 122599 123374 122599 575512 336732 0.2144 0.3641 False True True 69.82
58 http://xmlns.com/foaf/0.1/Image 573450 559565 http://purl.org/ontology/bibo/Image 194136 180241 184759 170874 582827 568932 0.317 0.3003 False False False -5.27
59 http://www.w3.org/2006/vcard/ns#VCard 559569 559569 http://www.w3.org/2006/vcard/ns#Kind 27120 27120 3 3 586686 586686 0.0 0.0 False False False 0
60 http://purl.org/rss/1.0/channel 546941 546934 http://purl.org/net/rss1.1#Channel 52 52 47 47 546946 546939 0.0001 0.0001 False False False 0
61 http://purl.org/vocab/frbr/core#Work 540139 540083 http://purl.org/net/cito/Work 75 75 75 75 540139 540083 0.0001 0.0001 False True True 0
62 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://dbpedia.org/ontology/Restaurant 2633 2018 0 0 423589 422974 0.0 0.0 False False False 0
63 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://schema.org/Restaurant 2633 2018 0 0 423589 422974 0.0 0.0 False False False 0
64 http://lsdis.cs.uga.edu/projects/semdis/opus#Article 386481 386481 http://purl.org/net/nknouf/ns/bibtex#Article 1396 1396 0 0 387877 387877 0.0 0.0 False False False 0
65 http://www.aktors.org/ontology/portal#Project 382785 382785 http://swrc.ontoware.org/ontology#Project 360 360 0 0 383145 383145 0.0 0.0 False False False 0
66 http://www.aktors.org/ontology/portal#Project 382785 382785 http://xmlns.com/foaf/0.1/Project 118058 118024 0 0 500843 500809 0.0 0.0 False False False 0
67 http://dbpedia.org/ontology/City 381256 169218 http://schema.org/City 365174 164766 365174 164766 381256 169218 0.9578 0.9737 False True True 1.66
68 http://dbpedia.org/ontology/Event 330692 248604 http://schema.org/Event 327984 246854 327954 246824 330722 248634 0.9916 0.9927 False False False 0.11
69 http://dbpedia.org/ontology/Event 330692 248604 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event 45377 45112 45377 45112 330692 248604 0.1372 0.1815 False True True 32.29
70 http://dbpedia.org/ontology/Film 317078 156429 http://schema.org/Movie 296548 143961 296548 143961 317078 156429 0.9353 0.9203 False True True -1.6
71 http://dbpedia.org/ontology/Film 317078 156429 http://dbpedia.org/ontology/Wikidata:Q11424 87282 86998 87282 86998 317078 156429 0.2753 0.5562 False True True 102.03
72 http://dbpedia.org/ontology/BodyOfWater 291627 201293 http://schema.org/BodyOfWater 283137 195268 283137 195268 291627 201293 0.9709 0.9701 False True True -0.08
73 http://rdfs.org/sioc/ns#User 270003 269997 http://rdf.myexperiment.org/ontology#User 1 1 0 0 270004 269998 0.0 0.0 False False False 0
74 http://rdfs.org/sioc/ns#User 270003 269997 http://rdf.myexperiment.org/ontologies/base/User 5 5 0 0 270008 270002 0.0 0.0 False False False 0
75 http://rdfs.org/sioc/ns#User 270003 269997 http://rdfs.org/sioc/ns#UserAccount 9242 9241 15 15 279230 279223 0.0001 0.0001 False False False 0
76 http://dbpedia.org/ontology/Book 269350 194910 http://schema.org/Book 262300 189902 262298 189901 269352 194911 0.9738 0.9743 False False False 0.05
77 http://swrc.ontoware.org/ontology#Organization 247802 247802 http://lsdis.cs.uga.edu/projects/semdis/opus#Publishing_Organization 331 331 0 0 248133 248133 0.0 0.0 False False False 0
78 http://www.w3.org/2006/time#Instant 229104 229104 http://purl.org/NET/c4dm/timeline.owl#Instant 85 85 0 0 229189 229189 0.0 0.0 False False False 0
79 http://dbpedia.org/ontology/SportsEvent 219466 170525 http://schema.org/SportsEvent 218615 169869 218615 169869 219466 170525 0.9961 0.9962 False True True 0.01
